order_id,order_date,order_amount,user_id,user_name,city,membership,restaurant_id,restaurant_name,cuisine,rating
1,2023-02-18 00:00:00,842.97,2508,User_2508,Hyderabad,Regular,450,New Foods Chinese,Mexican,3.2
2,2023-01-18 00:00:00,546.68,2693,User_2693,Pune,Regular,309,Ruchi Curry House Multicuisine,Indian,4.5
3,2023-07-15 00:00:00,163.93,2084,User_2084,Chennai,Gold,107,Spice Kitchen Punjabi,Mexican,4
4,2023-10-04 00:00:00,1155.97,319,User_319,Bangalore,Gold,224,Darbar Kitchen Non-Veg,Chinese,4.8
5,2023-12-25 00:00:00,1321.91,1064,User_1064,Pune,Regular,293,Royal Eatery South Indian,Italian,3
6,2023-07-12 00:00:00,1497.22,2933,User_2933,Chennai,Regular,499,Annapurna Tiffins South Indian,Mexican,4.9
7,2023-05-30 00:00:00,129.21,970,User_970,Bangalore,Regular,35,Royal Biryani North Indian,Chinese,3.9
8,2023-11-07 00:00:00,269.19,891,User_891,Pune,Regular,57,Spice Mess Punjabi,Mexican,4.4
9,2023-12-05 00:00:00,953.3,364,User_364,Chennai,Gold,7,Ruchi Biryani Punjabi,Italian,3.2
10,2023-12-30 00:00:00,351.41,2972,User_2972,Bangalore,Regular,183,Taste of Biryani Non-Veg,Chinese,3.7
11,2023-12-10 00:00:00,523.82,924,User_924,Chennai,Regular,235,Amma Delights Family Restaurant,Italian,4.5
12,2023-10-27 00:00:00,1484.65,884,User_884,Pune,Gold,423,Royal Tiffins Multicuisine,Indian,3.2
13,2023-08-11 00:00:00,216.59,1958,User_1958,Chennai,Regular,244,Amma Tiffins South Indian,Italian,4.3
14,2023-09-24 00:00:00,898.24,364,User_364,Chennai,Gold,112,Grand Cafe Punjabi,Chinese,3.2
15,2023-07-17 00:00:00,1098.41,1733,User_1733,Pune,Regular,383,Amma Biryani North Indian,Indian,3.1
16,2023-07-17 00:00:00,475.74,1321,User_1321,Pune,Gold,149,Amma Restaurant South Indian,Mexican,3.6
17,2023-04-09 00:00:00,1002.51,1896,User_1896,Pune,Regular,421,Ruchi Foods Chinese,Indian,3
18,2023-04-23 00:00:00,736.89,1617,User_1617,Pune,Gold,414,Darbar Delights South Indian,Chinese,4.7
19,2023-12-27 00:00:00,392.59,330,User_330,Chennai,Regular,73,Spice Mess Andhra,Mexican,3.1
20,2023-02-03 00:00:00,362.01,2567,User_2567,Bangalore,Gold,52,Udupi Curry House South Indian,Mexican,4.9
21,2023-08-13 00:00:00,743.68,1610,User_1610,Pune,Regular,186,Darbar Restaurant North Indian,Indian,4.3
22,2023-07-12 00:00:00,507.82,688,User_688,Hyderabad,Gold,279,Sri Tiffins Andhra,Italian,4.9
23,2023-06-14 00:00:00,1025.36,2640,User_2640,Bangalore,Gold,83,Darbar Mess Pure Veg,Chinese,3.5
24,2023-01-22 00:00:00,412.5,2403,User_2403,Pune,Gold,434,Amma Kitchen Punjabi,Italian,4.7
25,2023-06-07 00:00:00,147.9,288,User_288,Pune,Regular,18,Annapurna Kitchen Family Restaurant,Italian,4.5
26,2023-12-24 00:00:00,933.31,2915,User_2915,Chennai,Gold,129,New Cafe North Indian,Indian,4.1
27,2023-08-08 00:00:00,678.38,1056,User_1056,Bangalore,Regular,399,Swagath Cafe Multicuisine,Chinese,3.2
28,2023-03-23 00:00:00,900.74,2370,User_2370,Bangalore,Regular,63,Ruchi Foods South Indian,Italian,5
29,2023-09-20 00:00:00,903,2905,User_2905,Pune,Gold,115,Annapurna Eatery Non-Veg,Chinese,3.3
30,2023-04-23 00:00:00,996.26,2009,User_2009,Chennai,Gold,18,Annapurna Kitchen Family Restaurant,Italian,4.5
31,2023-04-03 00:00:00,199.16,1986,User_1986,Bangalore,Regular,190,Amma Restaurant Pure Veg,Chinese,3.1
32,2023-01-26 00:00:00,741.1,1407,User_1407,Pune,Gold,93,Swagath Cafe Multicuisine,Chinese,4.9
33,2023-07-04 00:00:00,957.07,1761,User_1761,Bangalore,Gold,346,Amma Dhaba Non-Veg,Indian,4.5
34,2023-06-15 00:00:00,455.96,844,User_844,Chennai,Gold,350,Classic Curry House South Indian,Mexican,3.2
35,2023-05-15 00:00:00,121.81,2858,User_2858,Hyderabad,Regular,291,Annapurna Foods Non-Veg,Mexican,4.3
36,2023-09-12 00:00:00,140.83,186,User_186,Chennai,Regular,113,Darbar Biryani Pure Veg,Chinese,5
37,2023-02-01 00:00:00,1198.64,952,User_952,Chennai,Gold,34,Ruchi Dhaba Multicuisine,Chinese,4.3
38,2023-01-11 00:00:00,751.82,2972,User_2972,Bangalore,Regular,376,Amma Cafe Non-Veg,Indian,3.4
39,2023-02-23 00:00:00,596.06,118,User_118,Pune,Regular,170,Spice Tiffins Family Restaurant,Mexican,4.4
40,2023-07-25 00:00:00,622.5,2773,User_2773,Pune,Gold,63,Ruchi Foods South Indian,Italian,5
41,2023-01-09 00:00:00,753.16,1071,User_1071,Hyderabad,Gold,145,Amma Restaurant South Indian,Italian,3.1
42,2023-01-21 00:00:00,955.51,2274,User_2274,Chennai,Regular,121,Sri Delights Non-Veg,Indian,4.1
43,2023-03-26 00:00:00,850.52,380,User_380,Bangalore,Regular,256,Sri Curry House Andhra,Italian,3.1
44,2023-12-04 00:00:00,512.14,633,User_633,Pune,Gold,161,Annapurna Biryani South Indian,Mexican,3.8
45,2023-09-13 00:00:00,914.87,1146,User_1146,Pune,Gold,426,Royal Foods Non-Veg,Chinese,3.5
46,2023-12-25 00:00:00,602.82,2294,User_2294,Pune,Regular,72,Sri Foods Chinese,Mexican,3.4
47,2023-09-30 00:00:00,929.24,505,User_505,Hyderabad,Gold,69,Classic Tiffins Punjabi,Chinese,4.9
48,2023-11-30 00:00:00,957.14,372,User_372,Chennai,Regular,397,Amma Foods Family Restaurant,Indian,4.8
49,2023-02-10 00:00:00,183.82,2911,User_2911,Pune,Regular,234,Swagath Kitchen North Indian,Chinese,3.7
50,2023-09-26 00:00:00,298.54,1673,User_1673,Chennai,Regular,118,Amma Mess Pure Veg,Mexican,3.8
51,2023-05-10 00:00:00,893.66,1853,User_1853,Hyderabad,Gold,381,New Delights North Indian,Italian,4.6
52,2023-08-18 00:00:00,1423.59,799,User_799,Chennai,Regular,462,Grand Curry House Family Restaurant,Italian,3.1
53,2023-12-14 00:00:00,261.16,638,User_638,Hyderabad,Regular,262,Hotel Cafe Punjabi,Chinese,4.9
54,2023-09-06 00:00:00,334.11,1042,User_1042,Pune,Gold,266,Annapurna Delights Multicuisine,Italian,3.9
55,2023-06-08 00:00:00,838.38,2610,User_2610,Pune,Regular,172,Darbar Eatery Family Restaurant,Italian,3.9
56,2023-10-20 00:00:00,1499.8,2560,User_2560,Pune,Gold,215,Spice Biryani Punjabi,Mexican,4.4
57,2023-06-16 00:00:00,852.11,392,User_392,Chennai,Regular,273,Swagath Delights Andhra,Indian,3.9
58,2023-02-22 00:00:00,1281.55,606,User_606,Hyderabad,Gold,361,Royal Dhaba Punjabi,Indian,4.5
59,2023-11-07 00:00:00,169.22,1785,User_1785,Bangalore,Gold,247,Hotel Mess Punjabi,Mexican,3.2
60,2023-04-10 00:00:00,544.55,1077,User_1077,Chennai,Regular,373,Sai Delights Chinese,Indian,3.6
61,2023-08-30 00:00:00,1134.71,1753,User_1753,Hyderabad,Gold,130,Royal Restaurant South Indian,Indian,4.6
62,2023-11-24 00:00:00,722.78,723,User_723,Bangalore,Gold,165,Udupi Kitchen Chinese,Mexican,4.3
63,2023-07-27 00:00:00,1107.3,205,User_205,Pune,Gold,339,Annapurna Eatery South Indian,Indian,3.1
64,2023-03-09 00:00:00,625.41,1565,User_1565,Pune,Regular,189,Hotel Curry House Non-Veg,Indian,4.8
65,2023-04-07 00:00:00,881.86,2905,User_2905,Pune,Gold,220,Spice Kitchen North Indian,Mexican,3.2
66,2023-08-12 00:00:00,1356.31,340,User_340,Chennai,Regular,70,Swagath Delights Punjabi,Chinese,4.7
67,2023-08-07 00:00:00,781.02,2716,User_2716,Pune,Regular,233,Grand Cafe Family Restaurant,Italian,4.5
68,2023-04-19 00:00:00,165.97,850,User_850,Chennai,Regular,292,Amma Cafe North Indian,Mexican,4
69,2023-07-10 00:00:00,1377.54,929,User_929,Chennai,Gold,162,New Foods Multicuisine,Italian,3.3
70,2023-09-23 00:00:00,890.18,179,User_179,Bangalore,Regular,463,Hotel Delights Chinese,Chinese,3.2
71,2023-05-18 00:00:00,1401.97,773,User_773,Pune,Gold,256,Sri Curry House Andhra,Italian,3.1
72,2023-11-28 00:00:00,575.36,204,User_204,Bangalore,Regular,413,Sai Curry House Punjabi,Italian,3.3
73,2023-04-19 00:00:00,765.76,1725,User_1725,Bangalore,Gold,80,Spice Mess Chinese,Italian,3.9
74,2023-12-01 00:00:00,1223.01,1284,User_1284,Chennai,Regular,229,Ruchi Mess Family Restaurant,Italian,3.8
75,2023-08-22 00:00:00,700.31,849,User_849,Pune,Regular,444,Classic Cafe Family Restaurant,Chinese,4.7
76,2023-08-28 00:00:00,1117.61,1565,User_1565,Pune,Regular,233,Grand Cafe Family Restaurant,Italian,4.5
77,2023-10-22 00:00:00,851.28,1632,User_1632,Bangalore,Regular,80,Spice Mess Chinese,Italian,3.9
78,2023-12-24 00:00:00,271.81,2286,User_2286,Chennai,Regular,432,Hotel Eatery Pure Veg,Mexican,5
79,2023-03-09 00:00:00,1052.51,1396,User_1396,Pune,Gold,242,Classic Dhaba Punjabi,Mexican,4
80,2023-02-23 00:00:00,1323.7,1965,User_1965,Hyderabad,Gold,291,Annapurna Foods Non-Veg,Mexican,4.3
81,2023-08-18 00:00:00,537.78,2320,User_2320,Hyderabad,Gold,368,Sri Dhaba Pure Veg,Indian,4.4
82,2023-01-11 00:00:00,1326.03,38,User_38,Chennai,Gold,257,Sri Kitchen Family Restaurant,Italian,3.4
83,2023-09-03 00:00:00,961.02,1149,User_1149,Chennai,Gold,347,Amma Delights Chinese,Chinese,4.8
84,2023-12-29 00:00:00,488.53,2879,User_2879,Pune,Gold,196,Hotel Curry House Chinese,Italian,5
85,2023-11-12 00:00:00,1102.52,2917,User_2917,Bangalore,Gold,201,Spice Cafe Pure Veg,Mexican,3.4
86,2023-10-28 00:00:00,1018.04,2563,User_2563,Hyderabad,Regular,423,Royal Tiffins Multicuisine,Indian,3.2
87,2023-04-14 00:00:00,1103.42,1750,User_1750,Pune,Gold,385,Ruchi Mess Multicuisine,Chinese,4.4
88,2023-06-01 00:00:00,196.11,58,User_58,Bangalore,Regular,320,Hotel Cafe Multicuisine,Italian,4.1
89,2023-06-20 00:00:00,619.05,1619,User_1619,Bangalore,Regular,158,Hotel Biryani Pure Veg,Indian,4.5
90,2023-01-16 00:00:00,264.05,2760,User_2760,Hyderabad,Regular,320,Hotel Cafe Multicuisine,Italian,4.1
91,2023-07-07 00:00:00,391.36,2309,User_2309,Chennai,Gold,476,Royal Curry House Multicuisine,Mexican,3.4
92,2023-01-07 00:00:00,870.09,81,User_81,Chennai,Regular,200,Annapurna Restaurant Pure Veg,Chinese,3.9
93,2023-01-22 00:00:00,441.18,2874,User_2874,Hyderabad,Regular,1,Royal Kitchen Family Restaurant,Chinese,4.8
94,2023-12-10 00:00:00,285.28,587,User_587,Chennai,Regular,176,Classic Delights North Indian,Italian,4
95,2023-02-20 00:00:00,795.58,570,User_570,Bangalore,Gold,280,Taste of Dhaba Andhra,Chinese,3.7
96,2023-09-17 00:00:00,711.84,1048,User_1048,Pune,Regular,157,Sai Restaurant Family Restaurant,Italian,4.5
97,2023-09-18 00:00:00,190.14,614,User_614,Hyderabad,Regular,335,New Biryani Family Restaurant,Italian,3.9
98,2023-12-05 00:00:00,1225.83,1135,User_1135,Bangalore,Regular,161,Annapurna Biryani South Indian,Mexican,3.8
99,2023-11-25 00:00:00,146.68,549,User_549,Pune,Gold,11,Taste of Kitchen Family Restaurant,Chinese,4.9
100,2023-12-15 00:00:00,632.94,2811,User_2811,Bangalore,Gold,484,Taste of Biryani Punjabi,Mexican,4.2
101,2023-09-24 00:00:00,852.59,1337,User_1337,Bangalore,Regular,96,Annapurna Biryani Non-Veg,Mexican,4.4
102,2023-03-07 00:00:00,913.83,991,User_991,Pune,Regular,482,Classic Tiffins Pure Veg,Chinese,4.5
103,2023-04-11 00:00:00,1017.18,1922,User_1922,Chennai,Gold,492,Swagath Kitchen North Indian,Italian,4
104,2023-10-03 00:00:00,1191.17,1115,User_1115,Chennai,Regular,379,New Dhaba South Indian,Mexican,4.1
105,2023-06-01 00:00:00,109.14,804,User_804,Bangalore,Gold,407,Grand Cafe Chinese,Mexican,4.6
106,2023-11-18 00:00:00,1352.79,2873,User_2873,Pune,Gold,68,Taste of Biryani Andhra,Italian,4.1
107,2023-03-05 00:00:00,1037.09,1118,User_1118,Pune,Gold,388,Spice Cafe South Indian,Indian,3.9
108,2023-04-16 00:00:00,1375.29,1493,User_1493,Chennai,Regular,5,Udupi Foods South Indian,Chinese,4.8
109,2023-05-27 00:00:00,1461.82,532,User_532,Hyderabad,Gold,432,Hotel Eatery Pure Veg,Mexican,5
110,2023-06-04 00:00:00,932.09,1350,User_1350,Bangalore,Gold,220,Spice Kitchen North Indian,Mexican,3.2
111,2023-03-30 00:00:00,1346.23,1416,User_1416,Pune,Regular,66,Swagath Dhaba Punjabi,Italian,4.7
112,2023-11-15 00:00:00,149.76,2446,User_2446,Bangalore,Gold,447,Amma Biryani South Indian,Chinese,3.2
113,2023-04-13 00:00:00,475.81,2265,User_2265,Pune,Gold,28,Swagath Delights Multicuisine,Chinese,3.6
114,2023-07-29 00:00:00,842.42,142,User_142,Pune,Regular,390,Grand Restaurant Pure Veg,Mexican,4.7
115,2023-02-17 00:00:00,367.72,827,User_827,Chennai,Gold,184,Annapurna Tiffins Punjabi,Mexican,3.5
116,2023-03-12 00:00:00,296.82,2476,User_2476,Pune,Regular,319,Darbar Eatery Family Restaurant,Indian,3.1
117,2023-05-07 00:00:00,1485.31,1449,User_1449,Pune,Gold,328,Ruchi Curry House Andhra,Mexican,4.6
118,2023-07-22 00:00:00,880.41,1209,User_1209,Bangalore,Gold,209,Royal Tiffins Family Restaurant,Indian,3.6
119,2023-09-18 00:00:00,1008.64,1741,User_1741,Pune,Gold,257,Sri Kitchen Family Restaurant,Italian,3.4
120,2023-08-06 00:00:00,1146.39,1385,User_1385,Bangalore,Regular,379,New Dhaba South Indian,Mexican,4.1
121,2023-07-31 00:00:00,930.64,383,User_383,Hyderabad,Regular,438,Grand Biryani Pure Veg,Italian,3.2
122,2023-08-01 00:00:00,769.46,2661,User_2661,Chennai,Gold,376,Amma Cafe Non-Veg,Indian,3.4
123,2023-12-17 00:00:00,1492.73,2440,User_2440,Pune,Regular,73,Spice Mess Andhra,Mexican,3.1
124,2023-06-07 00:00:00,996.95,257,User_257,Chennai,Regular,102,Darbar Foods Andhra,Italian,4.9
125,2023-10-09 00:00:00,1345.86,1649,User_1649,Chennai,Gold,14,Taste of Tiffins North Indian,Indian,3.8
126,2023-09-29 00:00:00,320.68,970,User_970,Bangalore,Regular,122,Amma Eatery Non-Veg,Indian,3.9
